K,MoM_L1,MoM_L2,Seq_L1,Seq_L2,Joint_L1,Joint_L2
0,0.0748,0.0287,0.0748,0.0287,0.0748,0.0287
4,0.0559,0.0193,0.0547,0.0197,0.0537,0.0196
6,0.0589,0.0223,0.0561,0.0212,0.0557,0.0211
8,0.0500,0.0183,0.0471,0.0169,0.0470,0.0169
10,0.0293,0.0104,0.0307,0.0112,0.0307,0.0112
12,0.0303,0.0111,0.0320,0.0113,0.0322,0.0113
14,0.0297,0.0109,0.0228,0.0087,0.0228,0.0087
