K,MoM_L1,MoM_L2,Seq_L1,Seq_L2,Joint_L1,Joint_L2
0,0.2400,0.0774,0.2348,0.0735,0.2348,0.0735
4,0.1885,0.0672,0.1836,0.0674,0.1817,0.0679
6,0.1838,0.0629,0.1798,0.0602,0.1800,0.0610
8,0.1000,0.0341,0.1033,0.0348,0.1032,0.0346
10,0.0991,0.0338,0.0970,0.0336,0.0963,0.0332
12,0.0852,0.0311,0.0805,0.0297,0.0800,0.0297
14,0.0767,0.0288,0.0784,0.0284,0.0773,0.0285
