K,MoM_L1,MoM_L2,Seq_L1,Seq_L2,Joint_L1,Joint_L2
0,0.0862,0.0349,0.0844,0.0322,0.0844,0.0322
4,0.0674,0.0278,0.0701,0.0277,0.0679,0.0274
6,0.0715,0.0271,0.0705,0.0276,0.0693,0.0272
8,0.0674,0.0269,0.0699,0.0273,0.0685,0.0272
10,0.0570,0.0214,0.0433,0.0162,0.0403,0.0154
12,0.0316,0.0141,0.0445,0.0168,0.0409,0.0163
14,0.0397,0.0166,0.0319,0.0101,0.0240,0.0084
