K,MoM_L1,MoM_L2,Seq_L1,Seq_L2,Joint_L1,Joint_L2
0,0.1974,0.0651,0.1812,0.0567,0.1812,0.0567
4,0.0938,0.0273,0.0882,0.0284,0.0886,0.0265
6,0.0836,0.0270,0.0733,0.0266,0.0752,0.0260
8,0.0734,0.0257,0.0702,0.0266,0.0727,0.0261
10,0.0629,0.0210,0.0683,0.0209,0.0515,0.0180
12,0.0491,0.0155,0.0620,0.0182,0.0465,0.0133
14,0.0411,0.0120,0.0569,0.0171,0.0404,0.0118
