K,MoM_L1,MoM_L2,Seq_L1,Seq_L2,Joint_L1,Joint_L2
0,0.5852,0.1259,0.5523,0.1137,0.5523,0.1137
4,0.4811,0.1030,0.4834,0.0995,0.4797,0.1022
6,0.3335,0.0720,0.3454,0.0768,0.3147,0.0670
8,0.2947,0.0636,0.3002,0.0651,0.3002,0.0651
10,0.1621,0.0336,0.1592,0.0347,0.1540,0.0331
12,0.1521,0.0319,0.1403,0.0311,0.1353,0.0293
14,0.1350,0.0290,0.1382,0.0312,0.1160,0.0260
